backend,regime,config,dtype,batch,seq,heads,head_dim,status,fwd_ms,fwd_tflops,fwd_peak_mb,error,fwd_min_ms,fwd_p10_ms,fwd_p90_ms
eager,cross_row,cross_row/std/bf16/rows=1024,bf16,32,1024,8,64,ok,1.2489279508590698,55.022771080374646,1342.17728,,1.2463359832763672,1.2476160526275635,1.2496320009231567
sdpa-math,cross_row,cross_row/std/bf16/rows=1024,bf16,32,1024,8,64,ok,5.420447826385498,12.677822743997153,4026.795008,,5.403071880340576,5.4121599197387695,5.429120063781738
sdpa-flash,cross_row,cross_row/std/bf16/rows=1024,bf16,32,1024,8,64,ok,0.2481279969215393,276.9517248701678,303.038464,,0.24672000110149384,0.2473279982805252,0.24953599274158478
sdpa-mem-eff,cross_row,cross_row/std/bf16/rows=1024,bf16,32,1024,8,64,ok,0.5408959984779358,127.04748589261972,301.989888,,0.5387200117111206,0.539680004119873,0.5418879985809326
sdpa-cudnn,cross_row,cross_row/std/bf16/rows=1024,bf16,32,1024,8,64,ok,0.1852159947156906,371.0234466601303,301.991424,,0.1847040057182312,0.18483200669288635,0.18585599958896637
flash-attn,cross_row,cross_row/std/bf16/rows=1024,bf16,32,1024,8,64,ok,0.24156799912452698,284.4725997857667,303.038976,,0.24076800048351288,0.24118399620056152,0.2420479953289032
xformers,cross_row,cross_row/std/bf16/rows=1024,bf16,32,1024,8,64,ok,0.24748800694942474,277.66790634846046,303.038464,,0.24633599817752838,0.24675199389457703,0.24848000705242157
eager,cross_row,cross_row/std/bf16/rows=4096,bf16,32,4096,8,64,ok,23.630144119262695,46.53004324589395,18152.947712,,23.616159439086914,23.621376037597656,23.72015953063965
sdpa-math,cross_row,cross_row/std/bf16/rows=4096,bf16,32,4096,8,64,ok,81.56428527832031,13.480307269586886,57882.4448,,81.52684783935547,81.5311050415039,81.5830078125
sdpa-flash,cross_row,cross_row/std/bf16/rows=4096,bf16,32,4096,8,64,ok,3.566335916519165,308.3028782238638,1111.49056,,3.559328079223633,3.560159921646118,3.6519999504089355
sdpa-mem-eff,cross_row,cross_row/std/bf16/rows=4096,bf16,32,4096,8,64,ok,7.822432041168213,140.55879577980932,1107.296256,,7.817535877227783,7.8191680908203125,7.881824016571045
sdpa-cudnn,cross_row,cross_row/std/bf16/rows=4096,bf16,32,4096,8,64,ok,2.5617918968200684,429.1963094819743,1107.297792,,2.540287971496582,2.555840015411377,2.5880959033966064
flash-attn,cross_row,cross_row/std/bf16/rows=4096,bf16,32,4096,8,64,ok,3.56278395652771,308.6102444582647,1111.491072,,3.4436800479888916,3.4748799800872803,3.623231887817383
xformers,cross_row,cross_row/std/bf16/rows=4096,bf16,32,4096,8,64,ok,3.561919927597046,308.6851052594425,1111.49056,,3.558784008026123,3.5603199005126953,3.56441593170166
eager,cross_row,cross_row/std/bf16/rows=8192,bf16,32,8192,8,64,oom,,,,CUDA out of memory. Tried to allocate 32.00 GiB. GPU 0 has a total capacity of 79.18 GiB of which 12.97 GiB is free. Process 1 has 66.20 GiB memory in use. Of the allocated memory 33.78 GiB is allocat,,,
sdpa-math,cross_row,cross_row/std/bf16/rows=8192,bf16,32,8192,8,64,oom,,,,CUDA out of memory. Tried to allocate 64.00 GiB. GPU 0 has a total capacity of 79.18 GiB of which 44.97 GiB is free. Process 1 has 34.20 GiB memory in use. Of the allocated memory 4.03 GiB is allocate,,,
sdpa-flash,cross_row,cross_row/std/bf16/rows=8192,bf16,32,8192,8,64,ok,14.003935813903809,314.0578884071576,2189.426688,,13.999263763427734,14.000800132751465,14.166496276855469
sdpa-mem-eff,cross_row,cross_row/std/bf16/rows=8192,bf16,32,8192,8,64,ok,31.125856399536133,141.2988113371089,2181.03808,,30.886720657348633,30.889888763427734,32.64451217651367
sdpa-cudnn,cross_row,cross_row/std/bf16/rows=8192,bf16,32,8192,8,64,ok,10.009856224060059,439.37159662020855,2181.039616,,9.995903968811035,10.004704475402832,10.16806411743164
flash-attn,cross_row,cross_row/std/bf16/rows=8192,bf16,32,8192,8,64,ok,13.98697566986084,314.4387046143877,2189.4272,,13.754688262939453,13.759584426879883,16.172319412231445
xformers,cross_row,cross_row/std/bf16/rows=8192,bf16,32,8192,8,64,ok,14.459487915039062,304.1633657392298,2189.426688,,14.117888450622559,14.121664047241211,15.682592391967773
eager,cross_row,cross_row/std/bf16/rows=16384,bf16,32,16384,8,64,oom,,,,CUDA out of memory. Tried to allocate 128.00 GiB. GPU 0 has a total capacity of 79.18 GiB of which 75.47 GiB is free. Process 1 has 3.70 GiB memory in use. Of the allocated memory 3.03 GiB is allocate,,,
sdpa-math,cross_row,cross_row/std/bf16/rows=16384,bf16,32,16384,8,64,oom,,,,CUDA out of memory. Tried to allocate 256.00 GiB. GPU 0 has a total capacity of 79.18 GiB of which 70.47 GiB is free. Process 1 has 8.70 GiB memory in use. Of the allocated memory 8.03 GiB is allocate,,,
sdpa-flash,cross_row,cross_row/std/bf16/rows=16384,bf16,32,16384,8,64,ok,56.27142333984375,312.63090571159614,4345.298944,,55.571102142333984,55.58003234863281,61.268062591552734
sdpa-mem-eff,cross_row,cross_row/std/bf16/rows=16384,bf16,32,16384,8,64,ok,124.58787536621094,141.2030343458856,4328.521728,,124.4530258178711,124.580322265625,125.20556640625
sdpa-cudnn,cross_row,cross_row/std/bf16/rows=16384,bf16,32,16384,8,64,ok,40.26124954223633,436.9508210608516,4328.523264,,39.879615783691406,39.89718246459961,45.557918548583984
flash-attn,cross_row,cross_row/std/bf16/rows=16384,bf16,32,16384,8,64,ok,56.299232482910156,312.4764809139481,4345.299456,,54.538848876953125,54.57321548461914,62.02988815307617
xformers,cross_row,cross_row/std/bf16/rows=16384,bf16,32,16384,8,64,ok,56.96342468261719,308.83301245376816,4345.298944,,55.761566162109375,56.40143966674805,58.96694564819336
eager,cross_col,cross_col/std/bf16/cols=16,bf16,4096,16,8,64,ok,0.19679999351501465,10.912010766078405,587.20256,,0.19472000002861023,0.1958719938993454,0.19750399887561798
sdpa-math,cross_col,cross_col/std/bf16/cols=16,bf16,4096,16,8,64,ok,1.117535948753357,1.9216237745153335,1291.845632,,1.1121280193328857,1.1147840023040771,1.1214079856872559
sdpa-flash,cross_col,cross_col/std/bf16/cols=16,bf16,4096,16,8,64,ok,0.7025600075721741,3.056655125333744,572.522496,,0.7018880248069763,0.7022079825401306,0.7029759883880615
sdpa-mem-eff,cross_col,cross_col/std/bf16/cols=16,bf16,4096,16,8,64,ok,0.3473280072212219,6.1828692283724,570.425344,,0.34675198793411255,0.3468160033226013,0.3476479947566986
sdpa-cudnn,cross_col,cross_col/std/bf16/cols=16,bf16,4096,16,8,64,ok,0.6162559986114502,3.484726563049636,570.42688,,0.6156479716300964,0.6159359812736511,0.6165440082550049
flash-attn,cross_col,cross_col/std/bf16/cols=16,bf16,4096,16,8,64,ok,0.7153279781341553,3.0020965398298083,572.523008,,0.713919997215271,0.7147200107574463,0.7164160013198853
xformers,cross_col,cross_col/std/bf16/cols=16,bf16,4096,16,8,64,ok,0.6917759776115417,3.1043050315428746,572.522496,,0.6907839775085449,0.6912320256233215,0.7074559926986694
eager,cross_col,cross_col/std/bf16/cols=32,bf16,4096,32,8,64,ok,0.4121600091457367,20.84126164933838,1174.40512,,0.40988799929618835,0.41046398878097534,0.41337600350379944
sdpa-math,cross_col,cross_col/std/bf16/cols=32,bf16,4096,32,8,64,ok,2.3545920848846436,3.648162519165539,2650.800128,,2.345855951309204,2.3481600284576416,2.358880043029785
sdpa-flash,cross_col,cross_col/std/bf16/cols=32,bf16,4096,32,8,64,ok,0.7137280106544495,12.03530541574724,1111.49056,,0.7129600048065186,0.7133119702339172,0.7141439914703369
sdpa-mem-eff,cross_col,cross_col/std/bf16/cols=32,bf16,4096,32,8,64,ok,0.3527680039405823,24.35009551899958,1107.296256,,0.35209599137306213,0.35228800773620605,0.35315200686454773
sdpa-cudnn,cross_col,cross_col/std/bf16/cols=32,bf16,4096,32,8,64,ok,0.6169919967651367,13.92227879297733,1107.297792,,0.6163840293884277,0.6165440082550049,0.617792010307312
flash-attn,cross_col,cross_col/std/bf16/cols=32,bf16,4096,32,8,64,ok,0.7304959893226624,11.759044152952631,1111.491072,,0.7287039756774902,0.7294719815254211,0.731328010559082
xformers,cross_col,cross_col/std/bf16/cols=32,bf16,4096,32,8,64,ok,0.7034559845924377,12.211047713208044,1111.49056,,0.7024000287055969,0.7027519941329956,0.718559980392456
eager,cross_col,cross_col/std/bf16/cols=64,bf16,4096,64,8,64,ok,0.9944000244140625,34.55323564402167,2449.473536,,0.9885759949684143,0.9891520142555237,0.995743989944458
sdpa-math,cross_col,cross_col/std/bf16/cols=64,bf16,4096,64,8,64,ok,5.733503818511963,5.992799421718621,5807.014912,,5.711520195007324,5.71619176864624,5.741151809692383
sdpa-flash,cross_col,cross_col/std/bf16/cols=64,bf16,4096,64,8,64,ok,0.7399680018424988,46.43408672056799,2189.426688,,0.7387199997901917,0.7392320036888123,0.7406719923019409
sdpa-mem-eff,cross_col,cross_col/std/bf16/cols=64,bf16,4096,64,8,64,ok,0.3922879993915558,87.58804353253844,2181.03808,,0.39103999733924866,0.39158400893211365,0.3927359879016876
sdpa-cudnn,cross_col,cross_col/std/bf16/cols=64,bf16,4096,64,8,64,ok,0.612384021282196,56.10815627758926,2181.039616,,0.6114879846572876,0.6117759943008423,0.622111976146698
flash-attn,cross_col,cross_col/std/bf16/cols=64,bf16,4096,64,8,64,ok,0.7508159875869751,45.76319489203703,2189.4272,,0.7490879893302917,0.7498239874839783,0.7516800165176392
xformers,cross_col,cross_col/std/bf16/cols=64,bf16,4096,64,8,64,ok,0.7288640141487122,47.141493750560564,2189.426688,,0.7278720140457153,0.7280960083007812,0.7370560169219971
eager,cross_col,cross_col/std/bf16/cols=128,bf16,4096,128,8,64,ok,3.052544116973877,45.02439545681304,5939.134464,,3.04915189743042,3.050015926361084,3.0655040740966797
sdpa-math,cross_col,cross_col/std/bf16/cols=128,bf16,4096,128,8,64,ok,16.15782356262207,8.506031331468296,15070.135296,,16.143808364868164,16.149856567382812,16.163455963134766
sdpa-flash,cross_col,cross_col/std/bf16/cols=128,bf16,4096,128,8,64,ok,0.8527359962463379,161.17409617629968,4345.298944,,0.8438720107078552,0.8448320031166077,0.9248639941215515
sdpa-mem-eff,cross_col,cross_col/std/bf16/cols=128,bf16,4096,128,8,64,ok,1.243839979171753,110.49568736608525,4328.521728,,1.2422080039978027,1.2424319982528687,1.262719988822937
sdpa-cudnn,cross_col,cross_col/std/bf16/cols=128,bf16,4096,128,8,64,ok,0.6892799735069275,199.3949610529613,4328.523264,,0.6874880194664001,0.6877760291099548,0.6898239850997925
flash-attn,cross_col,cross_col/std/bf16/cols=128,bf16,4096,128,8,64,ok,0.7880319952964783,174.40783406299622,4345.299456,,0.786624014377594,0.7869759798049927,0.7890880107879639
